GENDER,AGE_BAND,variable,value,YEAR
Female,0-1,pop_2015_c,643356,2015
Female,2-5,pop_2015_c,1338483,2015
Female,6-10,pop_2015_c,1595613,2015
Female,11-15,pop_2015_c,1460304,2015
Female,16-20,pop_2015_c,1601590,2015
Female,21-25,pop_2015_c,1849209,2015
Female,26-30,pop_2015_c,1904091,2015
Female,31-35,pop_2015_c,1902501,2015
Female,36-40,pop_2015_c,1733738,2015
Female,41-45,pop_2015_c,1893135,2015
Female,46-50,pop_2015_c,1998695,2015
Female,51-55,pop_2015_c,1881059,2015
Female,56-60,pop_2015_c,1604738,2015
Female,61-65,pop_2015_c,1473424,2015
Female,66-70,pop_2015_c,1509529,2015
Female,71-75,pop_2015_c,1124852,2015
Female,76-80,pop_2015_c,932951,2015
Female,81-85,pop_2015_c,707850,2015
Female,86+,pop_2015_c,711068,2015
Male,0-1,pop_2015_c,678214,2015
Male,2-5,pop_2015_c,1408265,2015
Male,6-10,pop_2015_c,1676550,2015
Male,11-15,pop_2015_c,1531857,2015
Male,16-20,pop_2015_c,1678220,2015
Male,21-25,pop_2015_c,1844529,2015
Male,26-30,pop_2015_c,1827660,2015
Male,31-35,pop_2015_c,1850483,2015
Male,36-40,pop_2015_c,1718206,2015
Male,41-45,pop_2015_c,1857948,2015
Male,46-50,pop_2015_c,1950501,2015
Male,51-55,pop_2015_c,1842839,2015
Male,56-60,pop_2015_c,1569720,2015
Male,61-65,pop_2015_c,1411549,2015
Male,66-70,pop_2015_c,1420158,2015
Male,71-75,pop_2015_c,1013894,2015
Male,76-80,pop_2015_c,782102,2015
Male,81-85,pop_2015_c,515199,2015
Male,86+,pop_2015_c,364596,2015
Female,0-1,pop_2016_c,644713,2016
Female,2-5,pop_2016_c,1330963,2016
Female,6-10,pop_2016_c,1628168,2016
Female,11-15,pop_2016_c,1478663,2016
Female,16-20,pop_2016_c,1591974,2016
Female,21-25,pop_2016_c,1854114,2016
Female,26-30,pop_2016_c,1930400,2016
Female,31-35,pop_2016_c,1921151,2016
Female,36-40,pop_2016_c,1777745,2016
Female,41-45,pop_2016_c,1860215,2016
Female,46-50,pop_2016_c,1988476,2016
Female,51-55,pop_2016_c,1932089,2016
Female,56-60,pop_2016_c,1650878,2016
Female,61-65,pop_2016_c,1465567,2016
Female,66-70,pop_2016_c,1530124,2016
Female,71-75,pop_2016_c,1163300,2016
Female,76-80,pop_2016_c,942233,2016
Female,81-85,pop_2016_c,710205,2016
Female,86+,pop_2016_c,722488,2016
Male,0-1,pop_2016_c,680135,2016
Male,2-5,pop_2016_c,1401622,2016
Male,6-10,pop_2016_c,1710699,2016
Male,11-15,pop_2016_c,1553437,2016
Male,16-20,pop_2016_c,1666262,2016
Male,21-25,pop_2016_c,1840123,2016
Male,26-30,pop_2016_c,1839628,2016
Male,31-35,pop_2016_c,1859317,2016
Male,36-40,pop_2016_c,1754044,2016
Male,41-45,pop_2016_c,1826398,2016
Male,46-50,pop_2016_c,1939345,2016
Male,51-55,pop_2016_c,1886898,2016
Male,56-60,pop_2016_c,1616136,2016
Male,61-65,pop_2016_c,1406456,2016
Male,66-70,pop_2016_c,1435401,2016
Male,71-75,pop_2016_c,1052691,2016
Male,76-80,pop_2016_c,791983,2016
Male,81-85,pop_2016_c,526498,2016
Male,86+,pop_2016_c,378495,2016
Female,0-1,pop_2017_c,639018,2017
Female,2-5,pop_2017_c,1313115,2017
Female,6-10,pop_2017_c,1655069,2017
Female,11-15,pop_2017_c,1509217,2017
Female,16-20,pop_2017_c,1576173,2017
Female,21-25,pop_2017_c,1830149,2017
Female,26-30,pop_2017_c,1951016,2017
Female,31-35,pop_2017_c,1933738,2017
Female,36-40,pop_2017_c,1824668,2017
Female,41-45,pop_2017_c,1807534,2017
Female,46-50,pop_2017_c,1989368,2017
Female,51-55,pop_2017_c,1967194,2017
Female,56-60,pop_2017_c,1701478,2017
Female,61-65,pop_2017_c,1475800,2017
Female,66-70,pop_2017_c,1537041,2017
Female,71-75,pop_2017_c,1217206,2017
Female,76-80,pop_2017_c,935815,2017
Female,81-85,pop_2017_c,715854,2017
Female,86+,pop_2017_c,728342,2017
Male,0-1,pop_2017_c,673205,2017
Male,2-5,pop_2017_c,1382594,2017
Male,6-10,pop_2017_c,1740044,2017
Male,11-15,pop_2017_c,1589616,2017
Male,16-20,pop_2017_c,1640653,2017
Male,21-25,pop_2017_c,1814249,2017
Male,26-30,pop_2017_c,1851533,2017
Male,31-35,pop_2017_c,1859918,2017
Male,36-40,pop_2017_c,1786700,2017
Male,41-45,pop_2017_c,1775584,2017
Male,46-50,pop_2017_c,1938270,2017
Male,51-55,pop_2017_c,1914284,2017
Male,56-60,pop_2017_c,1665240,2017
Male,61-65,pop_2017_c,1418467,2017
Male,66-70,pop_2017_c,1439728,2017
Male,71-75,pop_2017_c,1104748,2017
Male,76-80,pop_2017_c,788182,2017
Male,81-85,pop_2017_c,537778,2017
Male,86+,pop_2017_c,390960,2017
Female,0-1,pop_2018_c,621921,2018
Female,2-5,pop_2018_c,1294047,2018
Female,6-10,pop_2018_c,1675923,2018
Female,11-15,pop_2018_c,1547019,2018
Female,16-20,pop_2018_c,1556731,2018
Female,21-25,pop_2018_c,1818511,2018
Female,26-30,pop_2018_c,1967021,2018
Female,31-35,pop_2018_c,1955679,2018
Female,36-40,pop_2018_c,1874733,2018
Female,41-45,pop_2018_c,1763689,2018
Female,46-50,pop_2018_c,1975986,2018
Female,51-55,pop_2018_c,1987250,2018
Female,56-60,pop_2018_c,1755242,2018
Female,61-65,pop_2018_c,1500032,2018
Female,66-70,pop_2018_c,1465365,2018
Female,71-75,pop_2018_c,1327846,2018
Female,76-80,pop_2018_c,943087,2018
Female,81-85,pop_2018_c,724390,2018
Female,86+,pop_2018_c,730101,2018
Male,0-1,pop_2018_c,655260,2018
Male,2-5,pop_2018_c,1362375,2018
Male,6-10,pop_2018_c,1761145,2018
Male,11-15,pop_2018_c,1632415,2018
Male,16-20,pop_2018_c,1616688,2018
Male,21-25,pop_2018_c,1795424,2018
Male,26-30,pop_2018_c,1864462,2018
Male,31-35,pop_2018_c,1862201,2018
Male,36-40,pop_2018_c,1820070,2018
Male,41-45,pop_2018_c,1729393,2018
Male,46-50,pop_2018_c,1922738,2018
Male,51-55,pop_2018_c,1932661,2018
Male,56-60,pop_2018_c,1715609,2018
Male,61-65,pop_2018_c,1443820,2018
Male,66-70,pop_2018_c,1368512,2018
Male,71-75,pop_2018_c,1209290,2018
Male,76-80,pop_2018_c,796785,2018
Male,81-85,pop_2018_c,549927,2018
Male,86+,pop_2018_c,401180,2018
Female,0-1,pop_2019_c,605649,2019
Female,2-5,pop_2019_c,1277463,2019
Female,6-10,pop_2019_c,1673071,2019
Female,11-15,pop_2019_c,1590071,2019
Female,16-20,pop_2019_c,1552446,2019
Female,21-25,pop_2019_c,1802949,2019
Female,26-30,pop_2019_c,1964088,2019
Female,31-35,pop_2019_c,1988488,2019
Female,36-40,pop_2019_c,1920193,2019
Female,41-45,pop_2019_c,1739950,2019
Female,46-50,pop_2019_c,1947770,2019
Female,51-55,pop_2019_c,1994302,2019
Female,56-60,pop_2019_c,1804625,2019
Female,61-65,pop_2019_c,1529516,2019
Female,66-70,pop_2019_c,1427919,2019
Female,71-75,pop_2019_c,1388767,2019
Female,76-80,pop_2019_c,968234,2019
Female,81-85,pop_2019_c,741756,2019
Female,86+,pop_2019_c,740640,2019
Male,0-1,pop_2019_c,639002,2019
Male,2-5,pop_2019_c,1343031,2019
Male,6-10,pop_2019_c,1759740,2019
Male,11-15,pop_2019_c,1676681,2019
Male,16-20,pop_2019_c,1614961,2019
Male,21-25,pop_2019_c,1776949,2019
Male,26-30,pop_2019_c,1863211,2019
Male,31-35,pop_2019_c,1878335,2019
Male,36-40,pop_2019_c,1847682,2019
Male,41-45,pop_2019_c,1701281,2019
Male,46-50,pop_2019_c,1896356,2019
Male,51-55,pop_2019_c,1936846,2019
Male,56-60,pop_2019_c,1759283,2019
Male,61-65,pop_2019_c,1473990,2019
Male,66-70,pop_2019_c,1335002,2019
Male,71-75,pop_2019_c,1264117,2019
Male,76-80,pop_2019_c,821822,2019
Male,81-85,pop_2019_c,568570,2019
Male,86+,pop_2019_c,415300,2019
Female,0-1,pop_2020_c,591839,2020
Female,2-5,pop_2020_c,1258016,2020
Female,6-10,pop_2020_c,1662839,2020
Female,11-15,pop_2020_c,1617654,2020
Female,16-20,pop_2020_c,1556279,2020
Female,21-25,pop_2020_c,1753483,2020
Female,26-30,pop_2020_c,1957141,2020
Female,31-35,pop_2020_c,2016007,2020
Female,36-40,pop_2020_c,1936339,2020
Female,41-45,pop_2020_c,1754342,2020
Female,46-50,pop_2020_c,1902259,2020
Female,51-55,pop_2020_c,1992114,2020
Female,56-60,pop_2020_c,1853396,2020
Female,61-65,pop_2020_c,1562528,2020
Female,66-70,pop_2020_c,1413445,2020
Female,71-75,pop_2020_c,1413262,2020
Female,76-80,pop_2020_c,1001087,2020
Female,81-85,pop_2020_c,753228,2020
Female,86+,pop_2020_c,734060,2020
Male,0-1,pop_2020_c,623005,2020
Male,2-5,pop_2020_c,1321770,2020
Male,6-10,pop_2020_c,1746959,2020
Male,11-15,pop_2020_c,1702249,2020
Male,16-20,pop_2020_c,1625127,2020
Male,21-25,pop_2020_c,1741059,2020
Male,26-30,pop_2020_c,1856036,2020
Male,31-35,pop_2020_c,1889366,2020
Male,36-40,pop_2020_c,1843804,2020
Male,41-45,pop_2020_c,1705714,2020
Male,46-50,pop_2020_c,1850929,2020
Male,51-55,pop_2020_c,1931697,2020
Male,56-60,pop_2020_c,1799819,2020
Male,61-65,pop_2020_c,1507158,2020
Male,66-70,pop_2020_c,1319795,2020
Male,71-75,pop_2020_c,1281832,2020
Male,76-80,pop_2020_c,854017,2020
Male,81-85,pop_2020_c,578843,2020
Male,86+,pop_2020_c,417464,2020
Female,0-1,pop_2021_c,576981,2021
Female,2-5,pop_2021_c,1237422,2021
Female,6-10,pop_2021_c,1647991,2021
Female,11-15,pop_2021_c,1645190,2021
Female,16-20,pop_2021_c,1578284,2021
Female,21-25,pop_2021_c,1731515,2021
Female,26-30,pop_2021_c,1937360,2021
Female,31-35,pop_2021_c,2039459,2021
Female,36-40,pop_2021_c,1947821,2021
Female,41-45,pop_2021_c,1792351,2021
Female,46-50,pop_2021_c,1865728,2021
Female,51-55,pop_2021_c,1981522,2021
Female,56-60,pop_2021_c,1904152,2021
Female,61-65,pop_2021_c,1608630,2021
Female,66-70,pop_2021_c,1407144,2021
Female,71-75,pop_2021_c,1432085,2021
Female,76-80,pop_2021_c,1035851,2021
Female,81-85,pop_2021_c,760403,2021
Female,86+,pop_2021_c,741315,2021
Male,0-1,pop_2021_c,604677,2021
Male,2-5,pop_2021_c,1298188,2021
Male,6-10,pop_2021_c,1729055,2021
Male,11-15,pop_2021_c,1728312,2021
Male,16-20,pop_2021_c,1653844,2021
Male,21-25,pop_2021_c,1730038,2021
Male,26-30,pop_2021_c,1844666,2021
Male,31-35,pop_2021_c,1899612,2021
Male,36-40,pop_2021_c,1836283,2021
Male,41-45,pop_2021_c,1726928,2021
Male,46-50,pop_2021_c,1812517,2021
Male,51-55,pop_2021_c,1918845,2021
Male,56-60,pop_2021_c,1840391,2021
Male,61-65,pop_2021_c,1552117,2021
Male,66-70,pop_2021_c,1314951,2021
Male,71-75,pop_2021_c,1293721,2021
Male,76-80,pop_2021_c,886115,2021
Male,81-85,pop_2021_c,584831,2021
Male,86+,pop_2021_c,428596,2021
Female,0-1,pop_2022_c,580922,2022
Female,2-5,pop_2022_c,1234189,2022
Female,6-10,pop_2022_c,1655280,2022
Female,11-15,pop_2022_c,1687876,2022
Female,16-20,pop_2022_c,1604676,2022
Female,21-25,pop_2022_c,1738900,2022
Female,26-30,pop_2022_c,1921276,2022
Female,31-35,pop_2022_c,2063379,2022
Female,36-40,pop_2022_c,1971139,2022
Female,41-45,pop_2022_c,1840804,2022
Female,46-50,pop_2022_c,1810171,2022
Female,51-55,pop_2022_c,1977977,2022
Female,56-60,pop_2022_c,1935631,2022
Female,61-65,pop_2022_c,1656823,2022
Female,66-70,pop_2022_c,1416453,2022
Female,71-75,pop_2022_c,1438442,2022
Female,76-80,pop_2022_c,1084585,2022
Female,81-85,pop_2022_c,754848,2022
Female,86+,pop_2022_c,753139,2022
