AGE_BAND,GENDER,drug_starpu,V1,pop,rate,base,star_pu
0-1,Female,Penicillins,285654,608726,0.469265318057714,0.286856382812433,1.63588940729463
2-5,Female,Penicillins,599732,1298119,0.462000787292999,0.286856382812433,1.61056478075681
16-20,Female,Penicillins,335391,1685785,0.198952416826582,0.286856382812433,0.693561059635445
36-40,Female,Penicillins,519965,2068502,0.251372732537846,0.286856382812433,0.876301688229163
61-65,Female,Penicillins,504665,1759295,0.286856382812433,0.286856382812433,1
0-1,Male,Penicillins,354405,638068,0.555434530488913,0.286856382812433,1.9362808839854
2-5,Male,Penicillins,645353,1359751,0.474611160425696,0.286856382812433,1.65452536134094
11-15,Male,Penicillins,299851,1869008,0.160433235170743,0.286856382812433,0.559280688119272
21-25,Male,Penicillins,175043,1863510,0.093931881234874,0.286856382812433,0.327452644818063
56-60,Male,Penicillins,351589,1973571,0.17814864527296,0.286856382812433,0.62103775947508
6-10,Female,Penicillins,463233,1744308,0.265568351460866,0.286856382812433,0.925788538700612
11-15,Female,Penicillins,313281,1778796,0.176119689947583,0.286856382812433,0.613964689301482
21-25,Female,Penicillins,354986,1828351,0.19415637369411,0.286856382812433,0.676841741468459
26-30,Female,Penicillins,463236,2016286,0.229747168804426,0.286856382812433,0.800913567102498
31-35,Female,Penicillins,562039,2165311,0.259565023222992,0.286856382812433,0.904860546166454
41-45,Female,Penicillins,438553,1931799,0.227017924742688,0.286856382812433,0.791399244865777
46-50,Female,Penicillins,394241,1904655,0.206988142209482,0.286856382812433,0.72157412075026
51-55,Female,Penicillins,469855,2089624,0.224851456529979,0.286856382812433,0.783846795826754
56-60,Female,Penicillins,512986,2050350,0.25019435706099,0.286856382812433,0.872193794706615
66-70,Female,Penicillins,456041,1507177,0.302579590850975,0.286856382812433,1.05481212544196
71-75,Female,Penicillins,477835,1530177,0.312274331662285,0.286856382812433,1.08860862219849
76-80,Female,Penicillins,475540,1153142,0.412386332299058,0.286856382812433,1.4376055650423
81-85,Female,Penicillins,363461,801469,0.453493522519274,0.286856382812433,1.58090790266919
86+,Female,Penicillins,464408,797992,0.581970746573901,0.286856382812433,2.02878785846795
6-10,Male,Penicillins,441752,1827831,0.241680986918375,0.286856382812433,0.842515632906111
16-20,Male,Penicillins,219524,1784557,0.123013162370269,0.286856382812433,0.428831881529732
26-30,Male,Penicillins,198737,1947065,0.102070038750632,0.286856382812433,0.355822791007488
31-35,Male,Penicillins,246511,2025452,0.12170666103171,0.286856382812433,0.424277332923391
36-40,Male,Penicillins,260966,1944802,0.134186410750297,0.286856382812433,0.467782551793654
41-45,Male,Penicillins,254487,1847890,0.137717613061384,0.286856382812433,0.480092552625656
46-50,Male,Penicillins,248896,1848950,0.134614781362395,0.286856382812433,0.469275879597267
51-55,Male,Penicillins,303061,2018546,0.150138267842298,0.286856382812433,0.52339176270123
61-65,Male,Penicillins,376896,1696457,0.222166550640541,0.286856382812433,0.774487039341247
66-70,Male,Penicillins,373380,1412440,0.264351052080088,0.286856382812433,0.921544953918419
71-75,Male,Penicillins,397134,1383264,0.287099208827816,0.286856382812433,1.00084650727657
76-80,Male,Penicillins,385913,990701,0.389535288649148,0.286856382812433,1.35794534125411
81-85,Male,Penicillins,274735,618650,0.444087933403378,0.286856382812433,1.54811940752162
86+,Male,Penicillins,274744,467661,0.587485379366678,0.286856382812433,2.04801222690874
0-1,Female,Cephalosportins and other beta-lactams,3898,608726,0.00640353788075423,0.0241159100662481,0.265531670302437
2-5,Female,Cephalosportins and other beta-lactams,16704,1298119,0.0128678495577062,0.0241159100662481,0.533583411215139
6-10,Female,Cephalosportins and other beta-lactams,18928,1744308,0.0108512946108141,0.0241159100662481,0.449964134921919
11-15,Female,Cephalosportins and other beta-lactams,8631,1778796,0.00485215842626136,0.0241159100662481,0.201201547564746
16-20,Female,Cephalosportins and other beta-lactams,12229,1685785,0.00725418721841753,0.0241159100662481,0.300805036944066
21-25,Female,Cephalosportins and other beta-lactams,19259,1828351,0.0105335354097764,0.0241159100662481,0.436787804434499
26-30,Female,Cephalosportins and other beta-lactams,27152,2016286,0.0134663435643555,0.0241159100662481,0.558400803758284
